,random_state,load_pattern,exp_type,regression_method,trace_family,y_metric,nmae,training_time
228,6,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11638171914601542,0.8261573314666748
229,6,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10841295077148434,0.8261573314666748
230,7,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11557260412367878,0.8156981468200684
231,7,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10900592230842425,0.8156981468200684
232,8,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11552705382780942,0.8130288124084473
233,8,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10846109067924418,0.8130288124084473
234,9,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11315771141061408,0.7875885963439941
235,9,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10829887115513728,0.7875885963439941
236,10,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11679958419283057,0.8328502178192139
237,10,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10888808499831842,0.8328502178192139
238,11,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11311181306626515,0.8459997177124023
239,11,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10704721231343,0.8459997177124023
240,12,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11821469257955511,0.8262968063354492
241,12,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10909487655747689,0.8262968063354492
242,13,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11613716570559775,0.831679105758667
243,13,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10765022505252488,0.831679105758667
244,14,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11590562294956895,0.7710409164428711
245,14,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10855118204610043,0.7710409164428711
246,15,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11294204814411991,0.7743103504180908
247,15,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10584041883990536,0.7743103504180908
248,16,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11440474067348692,0.7535927295684814
249,16,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.1077321621658227,0.7535927295684814
250,17,PeriodicLoad,SingleApp,reg_tree,VoD,DispFrames,0.11168543698766753,0.7685689926147461
251,17,PeriodicLoad,SingleApp,random_forest,VoD,DispFrames,0.10667261112756733,0.7685689926147461
252,0,PeriodicLoad,SingleApp,reg_tree,VoD,noAudioPlayed,0.31469371925223716,1.0628252029418945
