período,carga,apps,feature,método,switch,nmae,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA1,0.26012461059190034,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA1,0.2448273624091381,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA2,0.35571398470304316,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA2,0.3325870098986151,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA2,0.35569804421440254,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA2,0.33495481421395906,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA2,0.3666353481574277,
8,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA2,0.3454351097887741,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA2,0.34741039930466794,
16,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA2,0.3307002743834893,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA2,0.35942824687618324,
32,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA2,0.33899485674618196,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA2,0.35197174808711007,
64,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA2,0.32610195539860054,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA2,0.24123633622314355,
128,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA2,0.26760899610503824,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA2,0.2634920634920635,
256,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA2,0.26136904761904756,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA3,0.3267266758509884,
2,FlashcrowdLoad,BothApps,noAudioPlayed,RF,SWA3,0.32702196693849955,
4,FlashcrowdLoad,BothApps,noAudioPlayed,RT,SWA3,0.3116005810606485,
