período,função,carga,apps,feature,método,switch,nmae,
2,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.09672837886603192,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.19052113767053053,
2,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.19069014005414592,
4,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.14158452949759373,
4,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.14152997381373675,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.08475837583913429,
4,máximo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.0847600002948704,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.26505541662135734,
4,mínimo,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.2649541534128504,
8,média,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.14056117710853805,
8,média,FlashcrowdLoad,BothApps,DispFrames,RF,SWA3,0.14059733369045047,
8,máximo,FlashcrowdLoad,BothApps,DispFrames,RT,SWA3,0.08416451816298325,
