# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
ST-F-01;1;2024-09-26 10:42:27 UTC;4;5.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;94.00
ST-F-01;1;2024-09-26 10:42:27 UTC;5;1.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.99
ST-F-01;1;2024-09-26 10:42:27 UTC;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:27 UTC;7;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:27 UTC;8;1.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;98.02
ST-F-01;1;2024-09-26 10:42:27 UTC;9;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;99.00
ST-F-01;1;2024-09-26 10:42:27 UTC;10;4.95;0.00;0.00;0.00;0.00;0.00;0.99;0.00;0.00;94.06
ST-F-01;1;2024-09-26 10:42:27 UTC;11;4.81;0.00;1.92;0.00;0.00;0.00;0.00;0.00;0.00;93.27
ST-F-01;1;2024-09-26 10:42:28 UTC;-1;2.15;0.00;0.74;0.17;0.00;0.08;0.25;0.00;0.00;96.61
ST-F-01;1;2024-09-26 10:42:28 UTC;0;0.00;0.00;0.00;0.00;0.00;0.00;0.99;0.00;0.00;99.01
ST-F-01;1;2024-09-26 10:42:28 UTC;1;2.94;0.00;0.98;0.00;0.00;0.00;0.00;0.00;0.00;96.08
ST-F-01;1;2024-09-26 10:42:28 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
ST-F-01;1;2024-09-26 10:42:28 UTC;3;2.00;0.00;1.00;2.00;0.00;0.00;0.00;0.00;0.00;95.00
